2013/11/26 22:01:50 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_AU 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: Loading user properties from: /opt/apache-jmeter-2.10/bin/user.properties 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: Loading system properties from: /opt/apache-jmeter-2.10/bin/system.properties 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: Version 2.10 r1533061 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: java.version=1.7.0_25 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: java.vm.name=OpenJDK 64-Bit Server VM 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: os.name=Linux 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: os.arch=amd64 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: os.version=3.11.0-13-generic 
2013/11/26 22:01:54 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2013/11/26 22:01:55 INFO  - jmeter.JMeter: Default Locale=English (Australia) 
2013/11/26 22:01:55 INFO  - jmeter.JMeter: JMeter  Locale=English (Australia) 
2013/11/26 22:01:55 INFO  - jmeter.JMeter: JMeterHome=/opt/apache-jmeter-2.10 
2013/11/26 22:01:55 INFO  - jmeter.JMeter: user.dir  =/home/bruno/Workspace/silent-auction 
2013/11/26 22:01:55 INFO  - jmeter.JMeter: PWD       =/home/bruno/Workspace/silent-auction 
2013/11/26 22:01:55 INFO  - jmeter.JMeter: IP: 127.0.1.1 Name: bruno-Vostro-3550 FullName: bruno-Vostro-3550 
2013/11/26 22:01:55 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2013/11/26 22:02:00 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2013/11/26 22:02:00 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2013/11/26 22:02:00 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: javax.swing.plaf.metal.MetalLookAndFeel [Metal, CrossPlatform] 
2013/11/26 22:02:03 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2013/11/26 22:02:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Cannot find .className property for htmlParser, using default 
2013/11/26 22:02:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is  
2013/11/26 22:02:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is  
2013/11/26 22:02:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is  
2013/11/26 22:02:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is  
2013/11/26 22:02:04 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2013/11/26 22:02:04 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.control.gui.WebServiceSamplerGui 
2013/11/26 22:02:04 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.http.modifier.gui.ParamModifierGui 
2013/11/26 22:02:04 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /opt/apache-jmeter-2.10/bin/proxyserver.jks 
2013/11/26 22:02:04 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2013/11/26 22:02:04 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
2013/11/26 22:02:04 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2013/11/26 22:02:04 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2013/11/26 22:02:47 INFO  - jmeter.services.FileServer: Default base='/home/bruno/Workspace/silent-auction' 
2013/11/26 22:02:47 INFO  - jmeter.gui.action.Load: Loading file: /home/bruno/Workspace/silent-auction/jmeter/test_plan.jmx 
2013/11/26 22:02:47 INFO  - jmeter.services.FileServer: Set new base='/home/bruno/Workspace/silent-auction/jmeter' 
2013/11/26 22:02:48 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2013/11/26 22:02:48 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2013/11/26 22:02:48 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.5 
2013/11/26 22:02:48 INFO  - jmeter.save.SaveService: Using SaveService properties file version 1519088 
2013/11/26 22:02:48 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2013/11/26 22:02:48 INFO  - jmeter.protocol.http.control.CookieManager: Settings: Delete null: true Check: true Allow variable: true Save: false Prefix: COOKIE_ 
2013/11/26 22:02:48 INFO  - jmeter.services.FileServer: Set new base='/home/bruno/Workspace/silent-auction/jmeter' 
2013/11/26 22:37:54 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2013/11/26 22:37:54 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2013/11/26 22:37:54 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2013/11/26 22:37:54 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:37:54 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2013/11/26 22:37:54 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
